[2025-10-13 17:05:13:300] [17:05:13] 正在启动游戏客户端控制器...
[2025-10-13 17:05:13:301] [17:05:13] 游戏控制台启动完成...

[2025-10-13 17:08:47:620] [17:08:47] 正在启动数据库服务器...

[2025-10-13 17:08:50:024] [17:08:49] 数据库服务器启动完成...
[2025-10-13 17:08:51:004] [17:08:50] 正在启动游戏主程序...

[2025-10-13 17:09:00:099] [17:08:59] 游戏主程序启动完成...
[2025-10-13 17:09:00:207] [17:09:00] 正在启动游戏网关[7001]...
[2025-10-13 17:09:00:212] [17:09:00] 游戏网关启动完成[7001]...
[2025-10-13 17:09:00:651] [17:09:00] 正在启动登录网关[7000]...

[2025-10-13 18:22:44:801] [18:22:44] 登录网关异常关闭，已被重新启动...
[2025-10-13 18:22:46:777] [18:22:46] 登录网关异常关闭，已被重新启动...

[2025-10-13 18:25:30:021] [18:25:29] 正在启动游戏客户端控制器...
[2025-10-13 18:25:30:025] [18:25:29] 游戏控制台启动完成...

[2025-10-13 18:26:54:301] [18:26:54] 正在启动数据库服务器...
[2025-10-13 18:26:56:052] [18:26:55] 数据库服务器启动完成...
[2025-10-13 18:26:56:935] [18:26:56] 正在启动游戏主程序...

[2025-10-13 18:27:05:806] [18:27:05] 游戏主程序启动完成...
[2025-10-13 18:27:06:229] [18:27:06] 正在启动游戏网关[7001]...
[2025-10-13 18:27:06:234] [18:27:06] 游戏网关启动完成[7001]...
[2025-10-13 18:27:06:668] [18:27:06] 正在启动登录网关[7000]...

[2025-10-14 12:29:44:903] [12:29:44] 游戏引擎服务器心跳中断，已被重新启动...
[2025-10-14 12:29:45:112] [12:29:45] RunGate(135566, 7001) Connect Fail
[2025-10-14 12:29:46:877] [12:29:46] 游戏引擎服务器异常关闭，已被重新启动...
[2025-10-14 12:29:47:186] [12:29:47] RunGate(135566, 7001) Connect Fail
[2025-10-14 12:29:47:189] [12:29:47] 正在启动游戏主程序...

[2025-10-14 12:29:49:166] [12:29:49] RunGate(135566, 7001) Connect Fail
[2025-10-14 12:29:51:245] [12:29:51] RunGate(135566, 7001) Connect Fail
[2025-10-14 12:29:53:214] [12:29:53] RunGate(135566, 7001) Connect Fail

[2025-10-14 12:29:55:170] [12:29:55] RunGate(135566, 7001) Connect Fail
[2025-10-14 12:29:57:251] [12:29:57] RunGate(135566, 7001) Connect Fail

[2025-10-14 12:29:59:229] [12:29:59] RunGate(135566, 7001) Connect Fail
[2025-10-14 12:30:01:299] [12:30:01] RunGate(135566, 7001) Connect Fail
[2025-10-14 12:30:03:279] [12:30:03] RunGate(135566, 7001) Connect Fail

[2025-10-14 12:30:05:229] [12:30:05] RunGate(135566, 7001) Connect Fail
[2025-10-14 12:30:07:317] [12:30:07] RunGate(135566, 7001) Connect Fail

[2025-10-14 12:30:09:287] [12:30:09] RunGate(135566, 7001) Connect Fail
[2025-10-14 12:30:11:381] [12:30:11] RunGate(135566, 7001) Connect Fail
[2025-10-14 12:30:13:335] [12:30:13] RunGate(135566, 7001) Connect Fail

[2025-10-14 12:30:15:416] [12:30:15] RunGate(135566, 7001) Connect Fail
[2025-10-14 12:30:17:385] [12:30:17] RunGate(135566, 7001) Connect Fail

[2025-10-14 12:30:19:354] [12:30:19] RunGate(135566, 7001) Connect Fail
