[2025-10-17 20:05:52:780] [20:05:52] 正在启动游戏客户端控制器...
[2025-10-17 20:05:52:781] [20:05:52] 游戏控制台启动完成...
[2025-10-17 20:05:56:286] [20:05:56] 正在启动数据库服务器...

[2025-10-17 20:05:58:130] [20:05:58] 数据库服务器启动完成...
[2025-10-17 20:05:58:575] [20:05:58] 正在启动游戏主程序...

[2025-10-17 20:06:07:613] [20:06:07] 游戏主程序启动完成...
[2025-10-17 20:06:07:675] [20:06:07] 正在启动游戏网关[7001]...
[2025-10-17 20:06:07:681] [20:06:07] 游戏网关启动完成[7001]...
[2025-10-17 20:06:08:001] [20:06:07] 正在启动登录网关[7000]...

[2025-10-17 23:04:28:315] [23:04:28] 游戏引擎服务器心跳中断，已被重新启动...
[2025-10-17 23:04:29:162] [23:04:29] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:04:30:357] [23:04:30] 游戏引擎服务器异常关闭，已被重新启动...
[2025-10-17 23:04:30:684] [23:04:30] 正在启动游戏主程序...
[2025-10-17 23:04:31:131] [23:04:31] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:04:33:199] [23:04:33] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:04:35:179] [23:04:35] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:04:37:249] [23:04:37] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:04:39:225] [23:04:39] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:04:41:309] [23:04:41] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:04:43:268] [23:04:43] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:04:45:229] [23:04:45] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:04:47:310] [23:04:47] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:04:49:277] [23:04:49] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:04:51:358] [23:04:51] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:04:53:322] [23:04:53] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:04:55:401] [23:04:55] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:04:57:399] [23:04:57] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:04:59:369] [23:04:59] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:05:01:461] [23:05:01] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:05:03:434] [23:05:03] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:05:05:389] [23:05:05] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:05:07:468] [23:05:07] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:05:09:448] [23:05:09] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:05:11:529] [23:05:11] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:05:13:505] [23:05:13] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:05:15:462] [23:05:15] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:05:17:542] [23:05:17] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:05:19:517] [23:05:19] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:05:21:613] [23:05:21] RunGate(135534, 7001) Connect Fail

