[2025-10-18 00:18:29:533] [0:18:29] 正在启动游戏客户端控制器...
[2025-10-18 00:18:29:534] [0:18:29] 游戏控制台启动完成...
[2025-10-18 00:18:32:161] [0:18:32] 正在启动数据库服务器...
[2025-10-18 00:18:33:912] [0:18:33] 数据库服务器启动完成...

[2025-10-18 00:18:35:005] [0:18:34] 正在启动游戏主程序...

[2025-10-18 00:18:45:181] [0:18:45] 游戏主程序启动完成...
[2025-10-18 00:18:45:502] [0:18:45] 正在启动游戏网关[7001]...
[2025-10-18 00:18:45:506] [0:18:45] 游戏网关启动完成[7001]...
[2025-10-18 00:18:46:270] [0:18:46] 正在启动登录网关[7000]...

[2025-10-18 04:22:27:240] [4:22:27] 正在开始停止服务器...
[2025-10-18 04:22:28:349] [4:22:28] 登录网关已停止...
[2025-10-18 04:22:28:351] [4:22:28] 游戏网关一已停止...

[2025-10-18 04:22:30:296] [4:22:30] 游戏引擎主程序已停止...

[2025-10-18 04:22:41:539] [4:22:41] 游戏数据库服务器已停止...

[2025-10-18 04:24:58:698] [4:24:58] 正在启动数据库服务器...

[2025-10-18 04:25:00:560] [4:25:00] 数据库服务器启动完成...
[2025-10-18 04:25:00:886] [4:25:00] 正在启动游戏主程序...

[2025-10-18 04:25:09:171] [4:25:08] 游戏主程序启动完成...
[2025-10-18 04:25:09:203] [4:25:09] 正在启动游戏网关[7001]...
[2025-10-18 04:25:09:206] [4:25:09] 游戏网关启动完成[7001]...
[2025-10-18 04:25:09:426] [4:25:09] 正在启动登录网关[7000]...

[2025-10-18 09:13:40:078] [9:13:40] 游戏引擎服务器心跳中断，已被重新启动...
[2025-10-18 09:13:40:185] [9:13:40] RunGate(397118, 7001) Connect Fail
[2025-10-18 09:13:42:049] [9:13:42] 游戏引擎服务器异常关闭，已被重新启动...
[2025-10-18 09:13:42:166] [9:13:42] RunGate(397118, 7001) Connect Fail
[2025-10-18 09:13:42:483] [9:13:42] 正在启动游戏主程序...

[2025-10-18 09:13:44:124] [9:13:44] RunGate(397118, 7001) Connect Fail
[2025-10-18 09:13:46:206] [9:13:46] RunGate(397118, 7001) Connect Fail
[2025-10-18 09:13:48:175] [9:13:48] RunGate(397118, 7001) Connect Fail

[2025-10-18 09:13:50:255] [9:13:50] RunGate(397118, 7001) Connect Fail
[2025-10-18 09:13:52:217] [9:13:52] RunGate(397118, 7001) Connect Fail

[2025-10-18 09:13:54:195] [9:13:54] RunGate(397118, 7001) Connect Fail
[2025-10-18 09:13:56:274] [9:13:56] RunGate(397118, 7001) Connect Fail
[2025-10-18 09:13:58:253] [9:13:58] RunGate(397118, 7001) Connect Fail

[2025-10-18 09:14:00:339] [9:14:00] RunGate(397118, 7001) Connect Fail
[2025-10-18 09:14:02:315] [9:14:02] RunGate(397118, 7001) Connect Fail

[2025-10-18 09:14:04:281] [9:14:04] RunGate(397118, 7001) Connect Fail
[2025-10-18 09:14:06:355] [9:14:06] RunGate(397118, 7001) Connect Fail
[2025-10-18 09:14:08:349] [9:14:08] RunGate(397118, 7001) Connect Fail

[2025-10-18 09:14:10:413] [9:14:10] RunGate(397118, 7001) Connect Fail
[2025-10-18 09:14:12:389] [9:14:12] RunGate(397118, 7001) Connect Fail

[2025-10-18 09:14:14:363] [9:14:14] RunGate(397118, 7001) Connect Fail
[2025-10-18 09:14:16:429] [9:14:16] RunGate(397118, 7001) Connect Fail
