[2025-10-19 08:02:25:718] [8:02:25] 正在启动游戏客户端控制器...
[2025-10-19 08:02:25:723] [8:02:25] 游戏控制台启动完成...

[2025-10-19 08:02:37:726] [8:02:37] 正在启动数据库服务器...
[2025-10-19 08:02:39:799] [8:02:39] 数据库服务器启动完成...

[2025-10-19 08:02:40:346] [8:02:40] 正在启动游戏主程序...

[2025-10-19 08:02:49:887] [8:02:49] 游戏主程序启动完成...

[2025-10-19 08:02:50:213] [8:02:50] 正在启动游戏网关[7001]...
[2025-10-19 08:02:50:217] [8:02:50] 游戏网关启动完成[7001]...
[2025-10-19 08:02:50:534] [8:02:50] 正在启动登录网关[7000]...

[2025-10-19 09:23:30:612] [9:23:30] 正在启动游戏客户端控制器...
[2025-10-19 09:23:30:614] [9:23:30] 游戏控制台启动完成...

[2025-10-19 09:23:36:199] [9:23:36] 正在启动数据库服务器...
[2025-10-19 09:23:38:277] [9:23:38] 数据库服务器启动完成...
[2025-10-19 09:23:39:256] [9:23:39] 正在启动游戏主程序...

[2025-10-19 09:23:48:340] [9:23:48] 游戏主程序启动完成...
[2025-10-19 09:23:48:772] [9:23:48] 正在启动游戏网关[7001]...
[2025-10-19 09:23:48:779] [9:23:48] 游戏网关启动完成[7001]...
[2025-10-19 09:23:49:096] [9:23:49] 正在启动登录网关[7000]...

[2025-10-19 11:10:28:131] [11:10:28] 游戏引擎服务器心跳中断，已被重新启动...
[2025-10-19 11:10:28:971] [11:10:28] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:10:30:173] [11:10:30] 游戏引擎服务器异常关闭，已被重新启动...
[2025-10-19 11:10:30:388] [11:10:30] 正在启动游戏主程序...
[2025-10-19 11:10:31:367] [11:10:31] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:10:32:981] [11:10:32] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:10:34:963] [11:10:34] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:10:36:961] [11:10:36] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:10:39:030] [11:10:38] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:10:40:996] [11:10:40] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:10:43:087] [11:10:43] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:10:45:056] [11:10:45] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:10:47:136] [11:10:47] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:10:49:108] [11:10:49] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:10:51:087] [11:10:51] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:10:53:159] [11:10:53] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:10:55:122] [11:10:55] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:10:57:207] [11:10:57] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:10:59:175] [11:10:59] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:11:01:247] [11:11:01] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:03:213] [11:11:03] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:11:05:191] [11:11:05] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:07:259] [11:11:07] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:09:246] [11:11:09] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:11:11:338] [11:11:11] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:13:299] [11:11:13] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:11:15:261] [11:11:15] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:17:343] [11:11:17] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:19:323] [11:11:19] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:11:21:391] [11:11:21] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:23:354] [11:11:23] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:11:25:442] [11:11:25] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:27:407] [11:11:27] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:29:384] [11:11:29] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:11:31:453] [11:11:31] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:33:417] [11:11:33] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:11:35:503] [11:11:35] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:37:467] [11:11:37] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:39:547] [11:11:39] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:11:41:510] [11:11:41] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:43:498] [11:11:43] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:11:45:585] [11:11:45] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:47:548] [11:11:47] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:49:621] [11:11:49] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:11:51:604] [11:11:51] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:53:582] [11:11:53] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:11:55:654] [11:11:55] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:57:621] [11:11:57] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:11:59:619] [11:11:59] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:12:01:688] [11:12:01] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:03:663] [11:12:03] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:12:05:734] [11:12:05] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:07:701] [11:12:07] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:09:780] [11:12:09] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:12:11:748] [11:12:11] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:13:719] [11:12:13] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:12:15:805] [11:12:15] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:17:771] [11:12:17] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:19:846] [11:12:19] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:12:21:817] [11:12:21] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:23:893] [11:12:23] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:12:25:861] [11:12:25] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:27:935] [11:12:27] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:29:900] [11:12:29] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:12:31:870] [11:12:31] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:33:950] [11:12:33] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:12:35:921] [11:12:35] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:38:002] [11:12:37] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:39:969] [11:12:39] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:12:42:042] [11:12:41] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:44:018] [11:12:43] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:12:46:006] [11:12:45] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:48:243] [11:12:48] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:12:50:056] [11:12:50] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:52:041] [11:12:52] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:54:106] [11:12:54] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:12:56:080] [11:12:56] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:12:58:154] [11:12:58] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:13:00:122] [11:13:00] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:02:204] [11:13:02] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:04:169] [11:13:04] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:13:06:139] [11:13:06] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:08:214] [11:13:08] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:13:10:184] [11:13:10] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:12:272] [11:13:12] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:14:236] [11:13:14] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:13:16:312] [11:13:16] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:18:276] [11:13:18] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:13:20:245] [11:13:20] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:22:344] [11:13:22] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:24:312] [11:13:24] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:13:26:377] [11:13:26] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:28:344] [11:13:28] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:13:30:426] [11:13:30] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:32:391] [11:13:32] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:34:357] [11:13:34] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:13:36:432] [11:13:36] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:38:406] [11:13:38] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:13:40:480] [11:13:40] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:42:455] [11:13:42] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:44:531] [11:13:44] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:13:46:505] [11:13:46] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:48:582] [11:13:48] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:13:50:550] [11:13:50] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:52:515] [11:13:52] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:54:588] [11:13:54] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:13:56:561] [11:13:56] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:13:58:639] [11:13:58] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:14:00:605] [11:14:00] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:02:578] [11:14:02] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:04:653] [11:14:04] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:14:06:623] [11:14:06] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:08:705] [11:14:08] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:14:10:673] [11:14:10] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:12:745] [11:14:12] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:14:714] [11:14:14] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:14:16:806] [11:14:16] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:18:766] [11:14:18] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:14:20:732] [11:14:20] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:22:810] [11:14:22] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:24:780] [11:14:24] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:14:26:856] [11:14:26] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:28:825] [11:14:28] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:14:30:905] [11:14:30] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:32:873] [11:14:32] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:34:840] [11:14:34] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:14:36:923] [11:14:36] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:38:890] [11:14:38] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:14:40:965] [11:14:40] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:42:939] [11:14:42] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:44:907] [11:14:44] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:14:46:982] [11:14:46] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:48:957] [11:14:48] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:14:51:040] [11:14:50] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:52:995] [11:14:52] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:55:005] [11:14:54] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:14:57:073] [11:14:56] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:14:59:047] [11:14:59] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:15:01:120] [11:15:01] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:03:090] [11:15:03] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:15:05:061] [11:15:05] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:07:140] [11:15:07] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:09:107] [11:15:09] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:15:11:190] [11:15:11] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:13:156] [11:15:13] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:15:15:234] [11:15:15] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:17:207] [11:15:17] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:19:285] [11:15:19] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:15:21:249] [11:15:21] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:23:219] [11:15:23] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:15:25:307] [11:15:25] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:27:273] [11:15:27] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:29:340] [11:15:29] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:15:31:313] [11:15:31] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:33:282] [11:15:33] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:15:35:358] [11:15:35] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:37:323] [11:15:37] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:39:401] [11:15:39] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:15:41:373] [11:15:41] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:43:451] [11:15:43] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:15:45:424] [11:15:45] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:47:504] [11:15:47] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:49:472] [11:15:49] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:15:51:438] [11:15:51] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:53:524] [11:15:53] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:15:55:485] [11:15:55] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:57:562] [11:15:57] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:15:59:532] [11:15:59] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:16:01:496] [11:16:01] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:16:03:589] [11:16:03] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:16:05:550] [11:16:05] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:16:07:635] [11:16:07] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:16:09:590] [11:16:09] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:16:11:669] [11:16:11] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:16:13:636] [11:16:13] RunGate(657776, 7001) Connect Fail

[2025-10-19 11:16:15:629] [11:16:15] RunGate(657776, 7001) Connect Fail
[2025-10-19 11:16:17:730] [11:16:17] RunGate(657776, 7001) Connect Fail
