[2025-10-25 11:41:35:078] [11:41:34] 正在启动游戏客户端控制器...
[2025-10-25 11:41:35:079] [11:41:34] 游戏控制台启动完成...

[2025-10-25 11:41:41:971] [11:41:41] 正在启动数据库服务器...
[2025-10-25 11:41:43:828] [11:41:43] 数据库服务器启动完成...

[2025-10-25 11:41:44:816] [11:41:44] 正在启动游戏主程序...

[2025-10-25 11:41:54:260] [11:41:53] 游戏主程序启动完成...
[2025-10-25 11:41:54:383] [11:41:54] 正在启动游戏网关[7001]...
[2025-10-25 11:41:54:386] [11:41:54] 游戏网关启动完成[7001]...
[2025-10-25 11:41:54:768] [11:41:54] 正在启动登录网关[7000]...

[2025-10-25 20:09:25:166] [20:09:25] 游戏引擎服务器心跳中断，已被重新启动...
[2025-10-25 20:09:26:263] [20:09:26] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:09:27:132] [20:09:27] 游戏引擎服务器异常关闭，已被重新启动...
[2025-10-25 20:09:27:457] [20:09:27] 正在启动游戏主程序...
[2025-10-25 20:09:28:228] [20:09:28] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:09:30:303] [20:09:30] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:09:32:274] [20:09:32] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:09:34:249] [20:09:34] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:09:36:312] [20:09:36] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:09:38:304] [20:09:38] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:09:40:358] [20:09:40] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:09:42:336] [20:09:42] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:09:44:418] [20:09:44] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:09:46:390] [20:09:46] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:09:48:348] [20:09:48] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:09:50:431] [20:09:50] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:09:52:392] [20:09:52] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:09:54:467] [20:09:54] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:09:56:453] [20:09:56] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:09:58:513] [20:09:58] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:10:00:488] [20:10:00] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:02:456] [20:10:02] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:10:04:553] [20:10:04] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:06:514] [20:10:06] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:08:580] [20:10:08] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:10:10:549] [20:10:10] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:12:626] [20:10:12] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:10:14:600] [20:10:14] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:16:570] [20:10:16] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:18:646] [20:10:18] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:10:20:619] [20:10:20] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:22:696] [20:10:22] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:10:24:663] [20:10:24] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:26:741] [20:10:26] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:28:707] [20:10:28] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:10:30:685] [20:10:30] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:32:749] [20:10:32] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:10:34:723] [20:10:34] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:36:803] [20:10:36] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:38:764] [20:10:38] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:10:40:856] [20:10:40] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:42:820] [20:10:42] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:10:44:788] [20:10:44] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:46:866] [20:10:46] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:48:840] [20:10:48] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:10:50:916] [20:10:50] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:52:877] [20:10:52] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:10:54:968] [20:10:54] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:56:922] [20:10:56] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:10:58:893] [20:10:58] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:00:971] [20:11:00] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:02:943] [20:11:02] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:05:036] [20:11:04] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:07:006] [20:11:06] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:08:982] [20:11:08] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:11:045] [20:11:10] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:13:018] [20:11:13] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:15:098] [20:11:15] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:17:074] [20:11:17] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:19:144] [20:11:19] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:21:121] [20:11:21] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:23:203] [20:11:23] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:25:161] [20:11:25] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:27:126] [20:11:27] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:29:213] [20:11:29] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:31:183] [20:11:31] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:33:249] [20:11:33] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:35:222] [20:11:35] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:37:304] [20:11:37] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:39:278] [20:11:39] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:41:244] [20:11:41] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:43:323] [20:11:43] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:45:291] [20:11:45] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:47:359] [20:11:47] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:49:334] [20:11:49] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:51:408] [20:11:51] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:53:386] [20:11:53] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:55:352] [20:11:55] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:11:57:431] [20:11:57] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:11:59:401] [20:11:59] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:01:478] [20:12:01] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:03:449] [20:12:03] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:12:05:516] [20:12:05] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:07:490] [20:12:07] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:12:09:461] [20:12:09] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:11:529] [20:12:11] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:13:503] [20:12:13] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:12:15:579] [20:12:15] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:17:549] [20:12:17] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:12:19:629] [20:12:19] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:21:601] [20:12:21] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:23:563] [20:12:23] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:12:25:644] [20:12:25] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:27:608] [20:12:27] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:12:29:689] [20:12:29] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:31:663] [20:12:31] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:33:736] [20:12:33] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:12:35:713] [20:12:35] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:37:672] [20:12:37] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:12:39:753] [20:12:39] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:41:719] [20:12:41] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:43:800] [20:12:43] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:12:45:793] [20:12:45] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:47:759] [20:12:47] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:12:49:826] [20:12:49] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:51:798] [20:12:51] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:53:879] [20:12:53] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:12:55:848] [20:12:55] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:12:57:927] [20:12:57] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:12:59:899] [20:12:59] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:01:863] [20:13:01] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:03:948] [20:13:03] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:13:05:914] [20:13:05] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:07:984] [20:13:07] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:13:09:953] [20:13:09] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:12:047] [20:13:11] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:14:000] [20:13:13] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:13:15:975] [20:13:15] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:18:048] [20:13:17] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:13:20:020] [20:13:19] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:22:099] [20:13:22] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:13:24:073] [20:13:24] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:26:144] [20:13:26] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:28:111] [20:13:28] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:13:30:091] [20:13:30] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:32:156] [20:13:32] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:13:34:126] [20:13:34] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:36:210] [20:13:36] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:38:169] [20:13:38] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:13:40:250] [20:13:40] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:42:227] [20:13:42] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:13:44:201] [20:13:44] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:46:280] [20:13:46] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:48:244] [20:13:48] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:13:50:317] [20:13:50] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:52:290] [20:13:52] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:13:54:372] [20:13:54] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:56:335] [20:13:56] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:13:58:295] [20:13:58] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:14:00:385] [20:14:00] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:02:341] [20:14:02] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:14:04:431] [20:14:04] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:06:389] [20:14:06] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:08:475] [20:14:08] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:14:10:450] [20:14:10] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:12:415] [20:14:12] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:14:14:495] [20:14:14] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:16:456] [20:14:16] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:18:538] [20:14:18] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:14:20:505] [20:14:20] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:22:584] [20:14:22] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:14:24:557] [20:14:24] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:26:624] [20:14:26] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:28:599] [20:14:28] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:14:30:575] [20:14:30] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:32:650] [20:14:32] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:14:34:611] [20:14:34] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:36:687] [20:14:36] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:38:657] [20:14:38] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:14:40:634] [20:14:40] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:42:720] [20:14:42] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:14:44:674] [20:14:44] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:46:751] [20:14:46] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:48:727] [20:14:48] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:14:50:797] [20:14:50] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:52:774] [20:14:52] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:14:54:736] [20:14:54] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:56:815] [20:14:56] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:14:58:793] [20:14:58] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:15:00:860] [20:15:00] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:15:02:832] [20:15:02] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:15:04:905] [20:15:04] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:15:06:881] [20:15:06] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:15:08:842] [20:15:08] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:15:10:922] [20:15:10] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:15:12:895] [20:15:12] RunGate(921478, 7001) Connect Fail

[2025-10-25 20:15:14:976] [20:15:14] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:15:16:936] [20:15:16] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:15:18:471] [20:15:18] 正在开始停止服务器...

[2025-10-25 20:15:19:028] [20:15:18] RunGate(921478, 7001) Connect Fail
[2025-10-25 20:15:19:502] [20:15:19] 登录网关已停止...

[2025-10-25 20:15:30:710] [20:15:30] 游戏数据库服务器已停止...

[2025-10-25 21:26:58:135] [21:26:58] 正在启动数据库服务器...

[2025-10-25 21:26:59:886] [21:26:59] 数据库服务器启动完成...
[2025-10-25 21:27:00:214] [21:27:00] 正在启动游戏主程序...

[2025-10-25 21:27:09:732] [21:27:09] 游戏主程序启动完成...
[2025-10-25 21:27:10:125] [21:27:10] 正在启动游戏网关[7001]...
[2025-10-25 21:27:10:168] [21:27:10] 游戏网关启动完成[7001]...
[2025-10-25 21:27:10:499] [21:27:10] 正在启动登录网关[7000]...

[2025-10-25 21:31:38:729] [21:31:38] 游戏引擎服务器心跳中断，已被重新启动...

[2025-10-25 21:31:40:137] [21:31:40] RunGate(332042, 7001) Connect Fail
[2025-10-25 21:31:40:789] [21:31:40] 游戏引擎服务器异常关闭，已被重新启动...
[2025-10-25 21:31:41:004] [21:31:40] 正在启动游戏主程序...
[2025-10-25 21:31:42:109] [21:31:42] RunGate(332042, 7001) Connect Fail

