[2025-10-29 11:42:07:340] [11:42:07] 正在启动游戏客户端控制器...
[2025-10-29 11:42:07:341] [11:42:07] 游戏控制台启动完成...

[2025-10-29 13:52:55:504] [13:52:55] 正在启动数据库服务器...

[2025-10-29 13:52:57:727] [13:52:57] 数据库服务器启动完成...
[2025-10-29 13:52:58:237] [13:52:58] 正在启动游戏主程序...

[2025-10-29 13:53:08:017] [13:53:07] 游戏主程序启动完成...
[2025-10-29 13:53:08:076] [13:53:08] 正在启动游戏网关[7001]...
[2025-10-29 13:53:08:080] [13:53:08] 游戏网关启动完成[7001]...
[2025-10-29 13:53:08:401] [13:53:08] 正在启动登录网关[7000]...

[2025-10-29 15:19:46:154] [15:19:46] 正在开始停止服务器...

[2025-10-29 15:19:47:183] [15:19:47] 登录网关已停止...
[2025-10-29 15:19:47:185] [15:19:47] 游戏网关一已停止...
[2025-10-29 15:19:51:613] [15:19:51] 游戏引擎主程序已停止...

[2025-10-29 15:20:02:870] [15:20:02] 游戏数据库服务器已停止...

[2025-10-29 15:27:14:865] [15:27:14] 正在启动游戏客户端控制器...
[2025-10-29 15:27:14:866] [15:27:14] 游戏控制台启动完成...
[2025-10-29 15:27:18:483] [15:27:18] 正在启动数据库服务器...

[2025-10-29 15:27:20:461] [15:27:20] 数据库服务器启动完成...
[2025-10-29 15:27:21:003] [15:27:20] 正在启动游戏主程序...

[2025-10-29 15:27:29:533] [15:27:29] 游戏主程序启动完成...
[2025-10-29 15:27:29:548] [15:27:29] 正在启动游戏网关[7001]...
[2025-10-29 15:27:29:553] [15:27:29] 游戏网关启动完成[7001]...
[2025-10-29 15:27:29:876] [15:27:29] 正在启动登录网关[7000]...

[2025-10-29 21:30:00:478] [21:30:00] 游戏引擎服务器心跳中断，已被重新启动...
[2025-10-29 21:30:01:354] [21:30:01] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:02:441] [21:30:02] 游戏引擎服务器异常关闭，已被重新启动...
[2025-10-29 21:30:02:869] [21:30:02] 正在启动游戏主程序...
[2025-10-29 21:30:03:424] [21:30:03] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:30:05:386] [21:30:05] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:07:471] [21:30:07] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:30:09:434] [21:30:09] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:11:516] [21:30:11] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:13:493] [21:30:13] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:30:15:471] [21:30:15] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:17:540] [21:30:17] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:30:19:506] [21:30:19] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:21:595] [21:30:21] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:23:559] [21:30:23] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:30:25:542] [21:30:25] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:27:606] [21:30:27] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:30:29:580] [21:30:29] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:31:669] [21:30:31] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:33:631] [21:30:33] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:30:35:711] [21:30:35] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:37:668] [21:30:37] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:30:39:641] [21:30:39] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:41:725] [21:30:41] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:43:690] [21:30:43] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:30:45:770] [21:30:45] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:47:749] [21:30:47] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:30:49:807] [21:30:49] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:51:785] [21:30:51] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:53:753] [21:30:53] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:30:55:825] [21:30:55] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:30:57:796] [21:30:57] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:30:59:874] [21:30:59] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:01:845] [21:31:01] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:03:918] [21:31:03] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:31:05:899] [21:31:05] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:07:859] [21:31:07] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:31:09:953] [21:31:09] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:11:922] [21:31:11] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:13:996] [21:31:13] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:31:15:977] [21:31:15] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:17:939] [21:31:17] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:31:20:017] [21:31:19] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:21:979] [21:31:21] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:31:24:065] [21:31:23] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:26:029] [21:31:25] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:28:111] [21:31:28] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:31:30:075] [21:31:30] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:32:043] [21:31:32] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:31:34:131] [21:31:34] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:36:085] [21:31:36] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:38:170] [21:31:38] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:31:40:141] [21:31:40] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:42:210] [21:31:42] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:31:44:185] [21:31:44] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:46:155] [21:31:46] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:48:240] [21:31:48] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:31:50:204] [21:31:50] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:52:272] [21:31:52] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:31:54:245] [21:31:54] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:56:336] [21:31:56] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:31:58:288] [21:31:58] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:32:00:263] [21:32:00] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:02:340] [21:32:02] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:32:04:312] [21:32:04] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:06:393] [21:32:06] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:08:365] [21:32:08] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:32:10:430] [21:32:10] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:12:399] [21:32:12] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:32:14:377] [21:32:14] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:16:447] [21:32:16] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:18:424] [21:32:18] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:32:20:514] [21:32:20] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:22:483] [21:32:22] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:32:24:456] [21:32:24] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:26:527] [21:32:26] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:28:496] [21:32:28] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:32:30:572] [21:32:30] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:32:558] [21:32:32] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:32:34:528] [21:32:34] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:36:617] [21:32:36] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:38:568] [21:32:38] RunGate(21107688, 7001) Connect Fail

[2025-10-29 21:32:40:655] [21:32:40] RunGate(21107688, 7001) Connect Fail
[2025-10-29 21:32:42:621] [21:32:42] RunGate(21107688, 7001) Connect Fail

