境界	所需修为	属性	消耗()	成功概率
炼气期[一层]	100	生命＆魔法+100、攻击+10	5W金币	100%
炼气期[二层]	200	生命＆魔法+150、攻击+20	5W金币	100%
炼气期[三层]	300	生命＆魔法+200、攻击+30	5W金币	100%
炼气期[四层]	400	生命＆魔法+250、攻击+40	5W金币	100%
炼气期[五层]	500	生命＆魔法+300、攻击+50	5W金币	100%
炼气期[六层]	600	生命＆魔法+350、攻击+60	5W金币	100%
炼气期[七层]	700	生命＆魔法+400、攻击+70	5W金币	100%
炼气期[八层]	800	生命＆魔法+500、攻击+80	5W金币	100%
炼气期[九层]	900	生命＆魔法+600、攻击+90	5W金币	100%
筑基境[前期]	1000	生命＆魔法+1000、攻击+100、攻击速度+1%	10W金币	100%
筑基境[中期]	1500	生命＆魔法 +1500、攻击 +120、攻击速度 +2%	20W金币	90%
筑基境[后期]	2000	生命＆魔法 +2000、攻击 +140、攻击速度 +3%	30W金币	90%
筑基境[大圆满]	3000	生命＆魔法+2500、攻击+160、攻击速度+4%	40W金币	90%
金丹境[前期]	5000	生命＆魔法+5000、攻击+200、攻击速度+5%、打怪爆率+10%	50W金币	70%
金丹境[中期]	8000	生命＆魔法+10000、攻击+250、攻击速度+6%、打怪爆率+20%	80W金币	70%
金丹境[后期]	11000	生命＆魔法+15000、攻击+300、攻击速度+7%、打怪爆率+30%	90W金币	70%
金丹境[大圆满]	13000	生命＆魔法+20000、攻击+350、攻击速度+8%、打怪爆率+40%	100W金币	70%
元婴境[前期]	20000	生命＆魔法+30000、攻击+400、攻击速度+9%、打怪爆率+50%、PK减伤+1%	300W金币	50%
元婴境[中期]	25000	生命＆魔法+40000、攻击+500、攻击速度+10%、打怪爆率+70%、PK减伤+2%	500W金币	50%
元婴境[后期]	30000	生命＆魔法+50000、攻击+600、攻击速度+11%、打怪爆率+90%、PK减伤+3%	800W金币	50%
元婴境[大圆满]	35000	生命＆魔法+60000、攻击+700、攻击速度+12%、打怪爆率+110%、PK减伤+4%	1000W金币	50%
大乘境[前期]	50000	生命＆魔法+80000、攻击+1000、攻击速度+13%、打怪爆率+130%、PK减伤+5%、鞭尸几率+1%	1500W金币	30%
大乘境[中期]	60000	生命＆魔法+100000、攻击+1500、攻击速度+14%、打怪爆率+150%、PK减伤+6%、鞭尸几率+2%	2000W金币	30%
大乘境[后期]	70000	生命＆魔法+120000、攻击+2000、攻击速度+15%、打怪爆率+170%、PK减伤+7%、鞭尸几率+3%	2500W金币	30%
大乘境[大圆满]	80000	生命＆魔法+140000、攻击+2500、攻击速度+16%、打怪爆率+190%、PK减伤+8%、鞭尸几率+4%	3000W金币	30%
渡劫境[前期]	100000	生命＆魔法+200000、攻击+3000、攻击速度+17%、打怪爆率+250%、PK减伤+10%、鞭尸几率+5%、对怪吸血+5%	5000W金币	20%
渡劫境[中期]	200000	生命＆魔法+250000、攻击+4000、攻击速度+18%、打怪爆率+300%、PK减伤+12%、鞭尸几率+6%、对怪吸血+8%	8000W金币	20%
渡劫境[后期]	500000	生命＆魔法+300000、攻击+4000、攻击速度+19%、打怪爆率+350%、PK减伤+14%、鞭尸几率+7%、对怪吸血+11%	1E金币	20%
渡劫境[大圆满]	1000000	生命＆魔法+350000、攻击+6000、攻击速度+20%、打怪爆率+400%、PK减伤+16%、鞭尸几率+8%、对怪吸血+15%	1.5E金币	20%
仙人境	1000,0000	生命＆魔法+500000、攻击+8888、攻击速度+50%、打怪爆率+500%、PK减伤+20%、鞭尸几率+10%、对怪吸血+20%、全属性+10%	888灵石	10%
