#CALL	[功能数据\通用爆率\第四大陆爆率.txt]	@通用大怪
#CALL	[功能数据\通用爆率\第四大陆爆率.txt]	@通用大怪
#CALL	[功能数据\通用爆率\第四大陆爆率.txt]	@通用大怪
#CALL	[功能数据\通用爆率\第四大陆爆率.txt]	@通用大怪
#CALL	[功能数据\通用爆率\第四大陆爆率.txt]	@通用大怪
#CALL	[功能数据\通用爆率\第四大陆爆率.txt]	@通用大怪
#CALL	[功能数据\通用爆率\第四大陆爆率.txt]	@通用大怪
#CALL	[功能数据\通用爆率\第四大陆爆率.txt]	@通用大怪
#CALL	[功能数据\通用爆率\第四大陆爆率.txt]	@通用大怪
#CALL	[功能数据\通用爆率\第四大陆爆率.txt]	@通用大怪

	1/1	四大陆专属装备随机宝箱
	1/1	5元真实充值
	1/1	辉耀水晶
	1/1	辉耀水晶
	1/1	辉耀水晶
	1/1	辉耀水晶
	1/1	辉耀水晶
	1/1	五行石
	1/1	五行石
	1/1	五行石
	1/1	五行石
	1/1	五行石
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
	1/1	修为丹（小）
