[@通用]
{

	1/5	元宝[5]

	1/18	金币(小)

	1/6	玫瑰花
	1/6	玫瑰花|@bl_zyjhl7


	#CHILD 1/3 RANDOM
	(
		1/2	    千年玄铁
		1/10	    斗笠碎片|@bl_zyjhl10
		1/1	    辰星战戒
		1/1	    辰星战镯
		1/1	    辰星战链
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
	)
	#CHILD 1/3 RANDOM
	(
		1/2	    千年玄铁
		1/1	    辰星战戒
		1/1	    辰星战镯
		1/1	    辰星战链
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
		1/1	    辰星战盔
	)


}
[@通用小怪]
{
	1/2          10W经验卷|@bl_zyjhl12
	1/2          50W经验卷|@bl_zyjhl12
	1/2          100W经验卷|@bl_zyjhl12



	1/576	女儿红
	1/576	莲花白
	1/136	竹叶青
	1/136	百花酿
	1/136	八仙醉

	1/45        辰星战甲
	1/45        辰星战刃
	1/15          辰星战戒
	1/15          辰星战镯
	1/15          辰星战链
	1/15          辰星战盔

	1/45        辰星战甲
	1/45        辰星战刃
	1/15          辰星战戒
	1/15          辰星战镯
	1/15          辰星战链
	1/15          辰星战盔


	1/84          古月战狂甲
	1/84          古月彻地斩
	1/33          古月战狂戒
	1/33          古月战狂镯
	1/33          古月战狂链
	1/33          古月战狂盔


	1/84          古月战狂甲
	1/84          古月彻地斩
	1/33          古月战狂戒
	1/33          古月战狂镯
	1/33          古月战狂链
	1/33          古月战狂盔

	1/114          青天战幻甲
	1/114          青天怒斩
	1/54          青天战幻戒
	1/54          青天战幻镯
	1/54          青天战幻链
	1/54          青天战幻盔

	1/114          青天战幻甲
	1/114          青天怒斩
	1/54          青天战幻戒
	1/54          青天战幻镯
	1/54          青天战幻链
	1/54          青天战幻盔

	1/165          凌风战影甲
	1/165          凌风七色刃
	1/75          凌风战虎戒
	1/75          凌风战虎镯
	1/75          凌风战挂坠
	1/75          凌风战兽盔

	1/165          凌风战影甲
	1/165          凌风七色刃
	1/75          凌风战虎戒
	1/75          凌风战虎镯
	1/75          凌风战挂坠
	1/75          凌风战兽盔


}
[@通用中怪]
{
	1/2          50W经验卷|@bl_zyjhl12
	1/2          50W经验卷|@bl_zyjhl12
	1/2          50W经验卷|@bl_zyjhl12
	1/2          50W经验卷|@bl_zyjhl12

	1/1	玫瑰花

	1/40          千年玄铁
	1/40          千年玄铁

	1/576	女儿红
	1/576	莲花白
	1/136	竹叶青
	1/136	百花酿
	1/136	八仙醉

	1/45        辰星战甲
	1/45        辰星战刃
	1/15          辰星战戒
	1/15          辰星战镯
	1/15          辰星战链
	1/15          辰星战盔

	1/45        辰星战甲
	1/45        辰星战刃
	1/15          辰星战戒
	1/15          辰星战镯
	1/15          辰星战链
	1/15          辰星战盔


	1/84          古月战狂甲
	1/84          古月彻地斩
	1/33          古月战狂戒
	1/33          古月战狂镯
	1/33          古月战狂链
	1/33          古月战狂盔


	1/84          古月战狂甲
	1/84          古月彻地斩
	1/33          古月战狂戒
	1/33          古月战狂镯
	1/33          古月战狂链
	1/33          古月战狂盔

	1/114          青天战幻甲
	1/114          青天怒斩
	1/54          青天战幻戒
	1/54          青天战幻镯
	1/54          青天战幻链
	1/54          青天战幻盔

	1/114          青天战幻甲
	1/114          青天怒斩
	1/54          青天战幻戒
	1/54          青天战幻镯
	1/54          青天战幻链
	1/54          青天战幻盔

	1/165          凌风战影甲
	1/165          凌风七色刃
	1/75          凌风战虎戒
	1/75          凌风战虎镯
	1/75          凌风战挂坠
	1/75          凌风战兽盔

	1/165          凌风战影甲
	1/165          凌风七色刃
	1/75          凌风战虎戒
	1/75          凌风战虎镯
	1/75          凌风战挂坠
	1/75          凌风战兽盔


}
[@通用大怪]
{

	1/2          50W经验卷|@bl_zyjhl12
	1/2          50W经验卷|@bl_zyjhl12
	1/2          100W经验卷|@bl_zyjhl12

	1/2          千年玄铁
	1/2          千年玄铁

	1/1	玫瑰花

	1/576	女儿红
	1/576	莲花白
	1/136	竹叶青
	1/136	百花酿
	1/136	八仙醉

	1/84        冥海圣武甲
	1/84        冥海圣刃
	1/24          冥海圣武靴
	1/24          冥海圣武带
	1/24          冥海圣武戒
	1/24          冥海圣武镯
	1/24          冥海圣武链
	1/24          冥海圣武盔

	1/84        冥海圣武甲
	1/84        冥海圣刃
	1/24          冥海圣武靴
	1/24          冥海圣武带
	1/24          冥海圣武戒
	1/24          冥海圣武镯
	1/24          冥海圣武链
	1/24          冥海圣武盔


	1/135          苍月圣魂甲
	1/135          苍月圣狂斩
	1/45          苍月圣魂靴
	1/45          苍月圣魂带
	1/45          苍月圣魂戒
	1/45          苍月圣魂镯
	1/45          苍月圣魂链
	1/45          苍月圣魂盔

	1/135          苍月圣魂甲
	1/135          苍月圣狂斩
	1/45          苍月圣魂靴
	1/45          苍月圣魂带
