[2026-05-02 05:54:51:828] .\Envir\lua/Data/fairy_fate_cfg.lua time：140

[2026-05-02 05:55:42:818] LuaNPC:玩家名字 ID:999999999 执行 sendability player:玩家名字 耗时：140; NpcThreadId: 29444, CurPlayThreadId: 29444
[2026-05-02 05:55:42:888] LuaNPC:玩家名字 ID:999999999 执行 entermap player:玩家名字 耗时：63; NpcThreadId: 29444, CurPlayThreadId: 29444
[2026-05-02 05:55:42:953] LuaNPC:玩家名字 ID:999999999 执行 sendability player:玩家名字 耗时：62; NpcThreadId: 29444, CurPlayThreadId: 29444
[2026-05-02 05:55:43:129] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：453; NpcThreadId: 29444, CurPlayThreadId: 29444
[2026-05-02 05:55:43:168] LuaNPC:玩家名字 ID:999999999 执行 sendability player:玩家名字 耗时：31; NpcThreadId: 29444, CurPlayThreadId: 29444
[2026-05-02 05:55:43:245] LuaNPC:玩家名字 ID:999999999 执行 sendability player:玩家名字 耗时：31; NpcThreadId: 29444, CurPlayThreadId: 29444

[2026-05-02 05:55:54:065] LuaNPC:玩家名字 ID:999999999 执行 sendability player:玩家名字 耗时：31; NpcThreadId: 29444, CurPlayThreadId: 29444
[2026-05-02 05:55:55:427] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：31; NpcThreadId: 29444, CurPlayThreadId: 29444

[2026-05-02 05:56:13:914] LuaNPC:玩家名字 ID:999999999 执行 sendability player:玩家名字 耗时：31; NpcThreadId: 29444, CurPlayThreadId: 29444

[2026-05-02 09:11:12:123] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：62; NpcThreadId: 32436, CurPlayThreadId: 32436

[2026-05-02 10:05:37:203] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：47; NpcThreadId: 28032, CurPlayThreadId: 28032

[2026-05-02 10:46:24:312] LuaNPC:玩家名字k ID:999999999 执行 attackdamage player:玩家名字k 耗时：31; NpcThreadId: 28032, CurPlayThreadId: 28032

[2026-05-02 12:46:12:746] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：47; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 12:51:29:417] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：63; NpcThreadId: 27928, CurPlayThreadId: 27928
[2026-05-02 12:51:29:417] [玩家名字]Lua执行耗时过高:63ms msgid:100 32 1 0 

[2026-05-02 13:17:13:860] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：31; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:22:36:191] LuaNPC:玩家名字 ID:999999999 执行 struckdamage player:玩家名字 耗时：109; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:23:06:376] LuaNPC:玩家名字 ID:999999999 执行 struckdamage player:玩家名字 耗时：125; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:23:36:471] LuaNPC:玩家名字 ID:999999999 执行 struckdamage player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:24:06:358] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：109; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:24:36:440] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:25:06:245] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:25:36:562] LuaNPC:玩家名字 ID:999999999 执行 struckdamage player:玩家名字 耗时：125; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:26:06:192] LuaNPC:玩家名字 ID:999999999 执行 struckdamage player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:26:36:204] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:27:06:392] LuaNPC:玩家名字 ID:999999999 执行 struckdamage player:玩家名字 耗时：109; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:27:36:592] LuaNPC:玩家名字 ID:999999999 执行 struckdamage player:玩家名字 耗时：110; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:28:06:478] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 27928, CurPlayThreadId: 27928

