[2026-05-13 15:45:10:398] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：2016; NpcThreadId: 22056, CurPlayThreadId: 22056

[2026-05-13 15:45:46:785] LuaNPC:玩家名字k ID:999999999 执行 login player:玩家名字k 耗时：4094; NpcThreadId: 22056, CurPlayThreadId: 22056

[2026-05-13 15:53:12:528] LuaNPC:玩家名字k ID:999999999 执行 handlerequest player:玩家名字k 耗时：235; NpcThreadId: 22056, CurPlayThreadId: 22056
[2026-05-13 15:53:12:528] [玩家名字k]Lua执行耗时过高:235ms msgid:105 44 44 0 

[2026-05-13 16:00:01:080] LuaNPC:系统控制 ID:999999999 执行 jqr_zxht_change player:系统控制 耗时：610; NpcThreadId: 22056, CurPlayThreadId: 22056

[2026-05-13 16:30:08:612] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：219; NpcThreadId: 22056, CurPlayThreadId: 22056

[2026-05-13 18:00:09:383] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：1016; NpcThreadId: 22056, CurPlayThreadId: 22056

[2026-05-13 18:01:08:820] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：454; NpcThreadId: 22056, CurPlayThreadId: 22056

[2026-05-13 19:00:10:493] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：2109; NpcThreadId: 22056, CurPlayThreadId: 22056

[2026-05-13 19:20:08:930] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：547; NpcThreadId: 22056, CurPlayThreadId: 22056

