[2026-07-05 21:28:52:214] LuaNPC:玩家名字 ID:999999999 执行 sendability player:玩家名字 耗时：31; NpcThreadId: 91208, CurPlayThreadId: 91208
[2026-07-05 21:28:52:240] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：953; NpcThreadId: 91208, CurPlayThreadId: 91208

[2026-07-05 21:31:27:492] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：47; NpcThreadId: 91208, CurPlayThreadId: 91208
[2026-07-05 21:31:27:492] [玩家名字]Lua执行耗时过高:47ms msgid:101 517 1 0 

[2026-07-05 22:10:00:335] LuaNPC:系统控制 ID:999999999 执行 jqr_zxdz_end player:系统控制 耗时：31; NpcThreadId: 91208, CurPlayThreadId: 91208

[2026-07-05 22:10:42:574] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：62; NpcThreadId: 91208, CurPlayThreadId: 91208
[2026-07-05 22:10:42:574] [玩家名字]Lua执行耗时过高:62ms msgid:100 503 1 0 

[2026-07-05 22:10:49:620] LuaNPC:玩家名字 ID:999999999 执行 clicknpc player:玩家名字 耗时：31; NpcThreadId: 91208, CurPlayThreadId: 91208

[2026-07-05 22:19:35:628] LuaNPC:玩家名字 ID:999999999 执行 clicknpc player:玩家名字 耗时：78; NpcThreadId: 91208, CurPlayThreadId: 91208

[2026-07-05 22:19:38:216] LuaNPC:玩家名字 ID:999999999 执行 clicknpc player:玩家名字 耗时：47; NpcThreadId: 91208, CurPlayThreadId: 91208

[2026-07-05 22:19:44:883] LuaNPC:玩家名字 ID:999999999 执行 clicknpc player:玩家名字 耗时：63; NpcThreadId: 91208, CurPlayThreadId: 91208

[2026-07-05 22:19:48:082] LuaNPC:玩家名字 ID:999999999 执行 clicknpc player:玩家名字 耗时：47; NpcThreadId: 91208, CurPlayThreadId: 91208

