[2026-08-20 10:06:00:441] LuaNPC:玩家名字k ID:999999999 执行 login player:玩家名字k 耗时：234; NpcThreadId: 245232, CurPlayThreadId: 245232

[2026-08-20 10:06:15:351] LuaNPC:玩家名字k ID:999999999 执行 yc_fuhuo_hc player:玩家名字k 耗时：32; NpcThreadId: 245232, CurPlayThreadId: 245232

[2026-08-20 10:07:18:818] LuaNPC:玩家名字k ID:999999999 执行 login player:玩家名字k 耗时：47; NpcThreadId: 245232, CurPlayThreadId: 245232

[2026-08-20 10:08:28:074] LuaNPC:玩家名字k ID:999999999 执行 login player:玩家名字k 耗时：94; NpcThreadId: 248608, CurPlayThreadId: 248608

[2026-08-20 10:18:35:514] LuaNPC:玩家名字k ID:999999999 执行 pickupitemfrontex player:玩家名字k 耗时：31; NpcThreadId: 248608, CurPlayThreadId: 248608

[2026-08-20 10:19:46:159] LuaNPC:玩家名字k ID:999999999 执行 takeoffex player:玩家名字k 耗时：234; NpcThreadId: 248608, CurPlayThreadId: 248608

[2026-08-20 10:20:46:530] LuaNPC:玩家名字k ID:999999999 执行 killmon player:玩家名字k 耗时：171; NpcThreadId: 248608, CurPlayThreadId: 248608

[2026-08-20 10:20:53:720] LuaNPC:玩家名字k ID:999999999 执行 pickupitemex player:玩家名字k 耗时：328; NpcThreadId: 248608, CurPlayThreadId: 248608

[2026-08-20 10:21:04:564] LuaNPC:玩家名字k ID:999999999 执行 mondropitemex player:玩家名字k 耗时：47; NpcThreadId: 248608, CurPlayThreadId: 248608

[2026-08-20 10:22:21:377] LuaNPC:玩家名字k ID:999999999 执行 killmon player:玩家名字k 耗时：140; NpcThreadId: 248608, CurPlayThreadId: 248608

[2026-08-20 10:28:28:894] LuaNPC:玩家名字k ID:999999999 执行 ontimer7 player:玩家名字k 耗时：453; NpcThreadId: 248608, CurPlayThreadId: 248608

[2026-08-20 10:48:46:480] LuaNPC: ID:999999999 执行 startup player: 耗时：32; NpcThreadId: 15776, CurPlayThreadId: 15776

[2026-08-20 10:49:13:573] LuaNPC:玩家名字k ID:999999999 执行 login player:玩家名字k 耗时：1218; NpcThreadId: 15776, CurPlayThreadId: 15776

[2026-08-20 10:53:18:361] LuaNPC:玩家名字k ID:999999999 执行 ggna player:玩家名字k 耗时：32; NpcThreadId: 15776, CurPlayThreadId: 15776

[2026-08-20 12:26:49:888] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：63; NpcThreadId: 15776, CurPlayThreadId: 15776

[2026-08-20 12:27:33:737] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：32; NpcThreadId: 15776, CurPlayThreadId: 15776

[2026-08-20 12:28:46:243] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：31; NpcThreadId: 15776, CurPlayThreadId: 15776
[2026-08-20 12:28:46:243] [玩家名字]Lua执行耗时过高:31ms msgid:100 672 1 0 

[2026-08-20 12:30:49:476] LuaNPC:玩家名字 ID:999999999 执行 mondropitemex player:玩家名字 耗时：32; NpcThreadId: 15776, CurPlayThreadId: 15776

[2026-08-20 12:38:20:967] LuaNPC:玩家名字 ID:999999999 执行 stdmodefunc10 player:玩家名字 耗时：578; NpcThreadId: 15776, CurPlayThreadId: 15776

[2026-08-20 16:00:47:495] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：672; NpcThreadId: 15776, CurPlayThreadId: 15776

[2026-08-20 16:30:47:048] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：203; NpcThreadId: 15776, CurPlayThreadId: 15776

[2026-08-20 17:18:51:248] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：32; NpcThreadId: 15776, CurPlayThreadId: 15776
[2026-08-20 17:18:51:248] [玩家名字]Lua执行耗时过高:32ms msgid:105 9999 9999 0 
[2026-08-20 17:18:53:101] LuaNPC:玩家名字 ID:999999999 执行 playlevelup player:玩家名字 耗时：31; NpcThreadId: 15776, CurPlayThreadId: 15776
[2026-08-20 17:18:53:137] LuaNPC:玩家名字 ID:999999999 执行 ggna player:玩家名字 耗时：62; NpcThreadId: 15776, CurPlayThreadId: 15776

