[2026-09-09 15:17:01:233] .\Envir\QuestDiary/game/safeRequire.lua time：140

[2026-09-09 15:17:05:799] .\Envir\QuestDiary/cfg_gm_box.lua time：1703
[2026-09-09 15:17:07:646] .\Envir\lua/Data/fairy_fate_cfg.lua time：344

[2026-09-09 15:17:16:269] .\Envir\lua/LuaLib/fairy_fate.lua time：704

[2026-09-09 15:17:54:168] LuaNPC: ID:999999999 执行 startup player: 耗时：31; NpcThreadId: 33044, CurPlayThreadId: 33044

[2026-09-09 15:18:54:428] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：250; NpcThreadId: 33044, CurPlayThreadId: 33044

[2026-09-09 15:28:57:299] LuaNPC: ID:999999999 执行 ontimerex1 player: 耗时：31; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 15:29:17:005] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：1203; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 15:30:48:700] LuaNPC:玩家名字 ID:999999999 执行 stdmodefunc10 player:玩家名字 耗时：62; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 15:34:09:740] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：31; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 17:06:31:242] LuaNPC:玩家名字l ID:999999999 执行 sendability player:玩家名字l 耗时：31; NpcThreadId: 4896, CurPlayThreadId: 4896
[2026-09-09 17:06:31:246] LuaNPC:玩家名字l ID:999999999 执行 login player:玩家名字l 耗时：31; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 18:49:03:584] LuaNPC:玩家名字l ID:999999999 执行 tuo player:玩家名字l 耗时：32; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 19:08:17:096] LuaNPC:玩家名字l ID:999999999 执行 takeonex player:玩家名字l 耗时：31; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 19:13:53:510] LuaNPC:玩家名字l ID:999999999 执行 tuo player:玩家名字l 耗时：31; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 19:19:07:407] LuaNPC:玩家名字l ID:999999999 执行 tuo player:玩家名字l 耗时：31; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 19:23:04:383] LuaNPC:玩家名字l ID:999999999 执行 tuo player:玩家名字l 耗时：47; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 19:28:37:109] LuaNPC:玩家名字l ID:999999999 执行 takeonex player:玩家名字l 耗时：47; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 19:31:11:225] LuaNPC:玩家名字l ID:999999999 执行 tuo player:玩家名字l 耗时：63; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 19:37:40:181] LuaNPC:玩家名字l ID:999999999 执行 tuo player:玩家名字l 耗时：32; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 19:39:43:083] LuaNPC:玩家名字l ID:999999999 执行 tuo player:玩家名字l 耗时：47; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 19:59:10:707] LuaNPC:玩家名字zl ID:999999999 执行 login player:玩家名字zl 耗时：47; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 21:33:44:596] LuaNPC:玩家名字l ID:999999999 执行 login player:玩家名字l 耗时：31; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 21:44:42:617] LuaNPC:玩家名字l ID:999999999 执行 login player:玩家名字l 耗时：125; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 21:48:35:346] LuaNPC:玩家名字l ID:999999999 执行 login player:玩家名字l 耗时：31; NpcThreadId: 4896, CurPlayThreadId: 4896

[2026-09-09 22:08:52:227] LuaNPC:玩家名字l ID:999999999 执行 login player:玩家名字l 耗时：31; NpcThreadId: 4896, CurPlayThreadId: 4896

