file,section,line,denominator,item,category,conditional,if_cond,if_expr,callback
"第一大陆爆率.txt","通用","3","1","元宝[5]","好爆","0","0","",""
"第一大陆爆率.txt","通用","4","5","元宝[10]","好爆","0","0","",""
"第一大陆爆率.txt","通用","6","10","金币(小)","好爆","0","0","",""
"第一大陆爆率.txt","通用","8","6","好感度道具","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","52","1","10W经验卷","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","53","1","50W经验卷","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","54","1","100W经验卷","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","58","288","女儿红","一般","0","0","",""
"第一大陆爆率.txt","通用小怪","59","288","莲花白","一般","0","0","",""
"第一大陆爆率.txt","通用小怪","60","68","竹叶青","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","61","68","百花酿","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","62","68","八仙醉","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","64","15","辰星战甲","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","65","15","辰星战刃","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","66","5","辰星战戒","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","67","5","辰星战镯","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","68","5","辰星战链","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","69","5","辰星战盔","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","71","15","辰星战甲","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","72","15","辰星战刃","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","73","5","辰星战戒","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","74","5","辰星战镯","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","75","5","辰星战链","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","76","5","辰星战盔","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","79","28","古月战狂甲","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","80","28","古月彻地斩","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","81","11","古月战狂戒","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","82","11","古月战狂镯","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","83","11","古月战狂链","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","84","11","古月战狂盔","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","87","28","古月战狂甲","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","88","28","古月彻地斩","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","89","11","古月战狂戒","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","90","11","古月战狂镯","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","91","11","古月战狂链","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","92","11","古月战狂盔","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","94","38","青天战幻甲","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","95","38","青天怒斩","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","96","18","青天战幻戒","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","97","18","青天战幻镯","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","98","18","青天战幻链","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","99","18","青天战幻盔","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","101","38","青天战幻甲","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","102","38","青天怒斩","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","103","18","青天战幻戒","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","104","18","青天战幻镯","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","105","18","青天战幻链","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","106","18","青天战幻盔","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","108","55","凌风战影甲","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","109","55","凌风七色刃","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","110","25","凌风战虎戒","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","111","25","凌风战虎镯","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","112","25","凌风战挂坠","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","113","25","凌风战兽盔","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","115","55","凌风战影甲","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","116","55","凌风七色刃","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","117","25","凌风战虎戒","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","118","25","凌风战虎镯","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","119","25","凌风战挂坠","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","120","25","凌风战兽盔","好爆","0","0","",""
"第一大陆爆率.txt","通用小怪","122","888","雪隐残锋","一般","0","0","",""
"第一大陆爆率.txt","通用小怪","123","888","惊雷震世","一般","0","0","",""
"第一大陆爆率.txt","通用小怪","124","888","烬海残光","一般","0","0","",""
"第一大陆爆率.txt","通用小怪","125","888","苍穹寂灭","一般","0","0","",""
"第一大陆爆率.txt","通用小怪","126","888","月华流影","一般","0","0","",""
"第一大陆爆率.txt","通用小怪","127","888","傲霜孤","一般","0","0","",""
"第一大陆爆率.txt","通用小怪","128","888","炽焰护腕","一般","0","0","",""
"第一大陆爆率.txt","通用小怪","129","888","烈焰指环","一般","0","0","",""
"第一大陆爆率.txt","通用小怪","130","888","王权圣戒","一般","0","0","",""
"第一大陆爆率.txt","通用小怪","131","888","龙魂吊坠","一般","0","0","",""
"第一大陆爆率.txt","通用小怪","133","2600","雷霆幻","难爆","0","0","",""
"第一大陆爆率.txt","通用小怪","134","2600","龙鳞震岳","难爆","0","0","",""
"第一大陆爆率.txt","通用小怪","135","2600","啸风逐电","难爆","0","0","",""
"第一大陆爆率.txt","通用小怪","137","2600","天罚雷击","难爆","0","0","",""
"第一大陆爆率.txt","通用小怪","138","2600","烈焰焚天","难爆","0","0","",""
"第一大陆爆率.txt","通用小怪","139","2600","霜雪之间","难爆","0","0","",""
"第一大陆爆率.txt","通用中怪","145","1","50W经验卷","好爆","0","0","",""
"第一大陆爆率.txt","通用中怪","146","1","50W经验卷","好爆","0","0","",""
"第一大陆爆率.txt","通用中怪","147","1","50W经验卷","好爆","0","0","",""
"第一大陆爆率.txt","通用中怪","148","1","50W经验卷","好爆","0","0","",""
"第一大陆爆率.txt","通用中怪","150","1","好感度道具","好爆","0","0","",""
"第一大陆爆率.txt","通用中怪","152","20","天工之锤","好爆","0","0","",""
"第一大陆爆率.txt","通用中怪","153","20","焚天石","好爆","0","0","",""
"第一大陆爆率.txt","通用中怪","155","288","女儿红","一般","0","0","",""
"第一大陆爆率.txt","通用中怪","156","288","莲花白","一般","0","0","",""
"第一大陆爆率.txt","通用中怪","157","68","竹叶青","好爆","0","0","",""
"第一大陆爆率.txt","通用中怪","158","68","百花酿","好爆","0","0","",""
"第一大陆爆率.txt","通用中怪","159","68","八仙醉","好爆","0","0","",""
"第一大陆爆率.txt","通用中怪","161","15","辰星战甲","好爆","0","0","",""
"第一大陆爆率.txt","通用中怪","162","15","辰星战刃","好爆","0","0","",""
"第一大陆爆率.txt","通用中怪","163","5","辰星战戒","好爆","0","0","",""
