continent,kind,item,best_den,detail
2,map_exclusive,杀意碎片,58,洞穴秘境
2,map_exclusive,煞气,98,洞穴秘境
2,map_exclusive,唐三彩,128,乱葬岗
3,map_exclusive,水手舱钥匙,128,千年沉船
3,map_exclusive,热血的友情,300,七星岛
3,map_exclusive,丹仙秘辛,388,丹道古藏
3,map_exclusive,宝藏碎片,388,船长室
3,map_exclusive,船长室钥匙,388,千年沉船
3,map_exclusive,海贼意志,500,葬星城
4,boss_exclusive,六天宫残魂,1,★罗酆六天·冥律至尊★
4,map_exclusive,六天宫残魂,1,罗酆六天
4,map_exclusive,师傅的袈裟,1,黑风山
4,map_exclusive,蟹将的头颅,200,东海龙宫
4,map_exclusive,经书,300,天竺山
4,map_exclusive,虾兵的头颅,300,东海龙宫
4,map_exclusive,修罗道令牌,555,六道轮回
4,map_exclusive,人间道令牌,666,六道轮回
4,map_exclusive,亡者灵魂,777,酆都鬼城
4,map_exclusive,牛魔王的鼻环,800,火焰山
4,map_exclusive,红孩儿的火尖枪,800,火焰山
4,map_exclusive,铁扇公主的芭蕉扇,800,火焰山
4,map_exclusive,黄风谷特产,800,黄风岭
4,map_exclusive,天猴的卡牌,1000,申猴灵域
4,map_exclusive,洪荒真气,1300,盘古开天
4,map_exclusive,孟婆汤,1500,奈何桥
4,map_exclusive,彼岸花,1500,黄泉路
4,map_exclusive,摸鱼能力卡,1500,午马灵域
4,map_exclusive,鬼界令牌,1500,鬼门关
4,map_exclusive,友情的力量,1800,黑白无常
4,map_exclusive,箭矢,2000,羿射九日
4,map_exclusive,龙珠,2000,辰龙灵域
4,map_exclusive,蛇图腾碎片,2300,巳蛇灵域
4,map_exclusive,五彩石,2500,女娲补天
4,map_exclusive,凤凰的羽毛,2500,酉鸡灵域
4,map_exclusive,判官笔,2500,黑白无常
4,map_exclusive,牛头的鼻环,2600,黑白无常
4,map_exclusive,马面的梳子,2600,黑白无常
4,map_exclusive,逐日弓,3000,羿射九日
4,map_exclusive,鱼饵,3000,真假玉帝
4,map_exclusive,鱼竿,5000,真假玉帝
