file,section,total,good,normal,hard,conditional
"第一大陆爆率.txt","通用","4","4","0","0","0"
"第一大陆爆率.txt","通用中怪","76","58","12","6","0"
"第一大陆爆率.txt","通用大怪","93","75","12","6","0"
"第一大陆爆率.txt","通用小怪","72","54","12","6","0"
"第七大陆爆率.txt","通用","141","14","48","62","17"
"第三大陆爆率.txt","通用","143","18","36","72","17"
"第三大陆爆率.txt","通用中怪","256","53","107","67","29"
"第三大陆爆率.txt","通用大怪","259","84","98","61","16"
"第三大陆爆率.txt","通用小怪","100","10","79","11","0"
"第九大陆爆率.txt","通用","15","8","5","0","2"
"第二大陆爆率.txt","通用","93","10","36","45","2"
"第二大陆爆率.txt","通用中怪","182","61","86","35","0"
"第二大陆爆率.txt","通用大怪","255","89","115","51","0"
"第二大陆爆率.txt","通用小怪","40","29","9","2","0"
"第五大陆爆率.txt","通用","142","9","49","62","22"
"第五大陆爆率.txt","通用中怪","35","22","0","12","1"
"第五大陆爆率.txt","通用大怪","23","14","0","8","1"
"第八大陆爆率.txt","通用","15","8","5","0","2"
"第六大陆爆率.txt","通用","131","8","50","64","9"
"第六大陆爆率.txt","通用中怪","23","6","5","11","1"
"第六大陆爆率.txt","通用大怪","37","30","0","7","0"
"第四大陆爆率.txt","通用","119","9","41","60","9"
"第四大陆爆率.txt","通用中怪","13","0","0","12","1"
"第四大陆爆率.txt","通用大怪","36","25","0","10","1"
"第四大陆爆率.txt","通用小怪","7","0","0","6","1"
