level,gl,need_xxz,currency,cost,E,dE,exp_cost,roi
1,100,100,金币,5000,220.0,220.0,5000.0,0.044
2,100,200,金币,5000,390.0,170.0,5000.0,0.034
3,100,300,金币,5000,560.0,170.0,5000.0,0.034
4,100,400,金币,5000,730.0,170.0,5000.0,0.034
5,100,500,金币,5000,900.0,170.0,5000.0,0.034
6,100,600,金币,5000,1070.0,170.0,5000.0,0.034
7,100,700,金币,5000,1240.0,170.0,5000.0,0.034
8,100,800,金币,5000,1460.0,220.0,5000.0,0.044
9,100,900,金币,5000,1680.0,220.0,5000.0,0.044
10,100,1000,金币,10000,2800.0,1120.0,10000.0,0.112
11,90,1500,金币,10000,4140.0,1340.0,11111.111111111111,0.1206
12,90,2000,金币,10000,5480.0,1340.0,11111.111111111111,0.1206
13,90,3000,金币,10000,6820.0,1340.0,11111.111111111111,0.1206
14,80,5000,金币,50000,12400.0,5580.0,62500.0,0.08928
15,80,8000,金币,50000,20600.0,8200.0,62500.0,0.1312
16,80,11000,金币,50000,28800.0,8200.0,62500.0,0.1312
17,80,13000,金币,50000,37000.0,8200.0,62500.0,0.1312
18,70,20000,金币,100000,60440.0,23440.0,142857.14285714287,0.16407999999999998
19,70,25000,金币,100000,83840.0,23400.0,142857.14285714287,0.16379999999999997
20,70,30000,金币,100000,88920.0,5080.0,142857.14285714287,0.035559999999999994
21,70,35000,金币,100000,94000.0,5080.0,142857.14285714287,0.035559999999999994
22,50,50000,金币,500000,99200.0,5200.0,1000000.0,0.0052
23,50,60000,金币,500000,104400.0,5200.0,1000000.0,0.0052
24,50,70000,金币,500000,109600.0,5200.0,1000000.0,0.0052
25,50,80000,金币,500000,114800.0,5200.0,1000000.0,0.0052
26,30,100000,金币,1000000,128240.0,13440.0,3333333.3333333335,0.004032
27,30,200000,金币,1000000,139680.0,11440.0,3333333.3333333335,0.0034319999999999997
28,30,500000,金币,1000000,151120.0,11440.0,3333333.3333333335,0.0034319999999999997
29,30,1000000,金币,1000000,162560.0,11440.0,3333333.3333333335,0.0034319999999999997
30,20,10000000,灵石,666,248320.0,85760.0,3330.0,25.753753753753752
