idx,name,dE_per_level,levels,E_at_lv10,c1_name,c1_total,c2_name,c2_total,roi_per_c1_total,roi_per_c2_total
1,金,80.0,10,800.0,元宝,5651000,五行石,743,0.00014156786409485046,1.0767160161507403
2,木,1000.0,10,10000.0,元宝,5651000,五行石,743,0.001769598301185631,13.458950201884253
3,水,0.0,10,0.0,元宝,5651000,五行石,743,0.0,0.0
4,火,1200.0,10,12000.0,元宝,5651000,五行石,743,0.002123517961422757,16.150740242261104
5,土,62.0,10,620.0,元宝,5651000,五行石,743,0.00010971509467350912,0.8344549125168237
6,雷,300.0,10,3000.0,灵石,11500,神·五行石,550,0.2608695652173913,5.454545454545454
7,风,3.2,10,32.0,灵石,11500,神·五行石,550,0.002782608695652174,0.05818181818181818
8,冰,0.0,10,0.0,灵石,11500,神·五行石,550,0.0,0.0
9,焚,7.2,10,72.0,灵石,11500,神·五行石,550,0.006260869565217392,0.13090909090909092
10,岩,9.2,10,92.0,灵石,11500,神·五行石,550,0.008,0.16727272727272727
