level,jf,E,dE,dJF,roi_jf
1,10,74.4,74.4,10,7.44
2,20,129.8,55.400000000000006,10,5.540000000000001
3,50,259.6,129.8,30,4.326666666666667
4,80,377.0,117.39999999999998,30,3.9133333333333327
5,100,494.4,117.39999999999998,20,5.869999999999999
6,200,611.8,117.39999999999998,100,1.1739999999999997
7,300,729.2,117.40000000000009,100,1.1740000000000008
8,500,846.6,117.39999999999998,200,0.5869999999999999
9,800,964.0,117.39999999999998,300,0.39133333333333326
10,1000,1205.0,241.0,200,1.205
11,1500,1476.0,271.0,500,0.542
12,2000,1747.0,271.0,500,0.542
13,2500,2018.0,271.0,500,0.542
14,3000,2289.0,271.0,500,0.542
15,3500,2560.0,271.0,500,0.542
16,4000,2831.0,271.0,500,0.542
17,4500,3102.0,271.0,500,0.542
18,5000,3373.0,271.0,500,0.542
19,5500,3644.0,271.0,500,0.542
20,6000,3915.0,271.0,500,0.542
21,7000,4426.0,511.0,1000,0.511
22,8000,4968.0,542.0,1000,0.542
23,9000,5510.0,542.0,1000,0.542
24,10000,6052.0,542.0,1000,0.542
25,11000,6594.0,542.0,1000,0.542
26,12000,7136.0,542.0,1000,0.542
27,13000,7678.0,542.0,1000,0.542
28,14000,8220.0,542.0,1000,0.542
29,15000,8762.0,542.0,1000,0.542
30,16000,9304.0,542.0,1000,0.542
31,18000,10167.0,863.0,2000,0.4315
32,20000,11030.0,863.0,2000,0.4315
33,22000,11893.0,863.0,2000,0.4315
34,24000,12756.0,863.0,2000,0.4315
35,26000,13619.0,863.0,2000,0.4315
36,28000,14482.0,863.0,2000,0.4315
37,30000,15345.0,863.0,2000,0.4315
38,32000,16208.0,863.0,2000,0.4315
39,34000,17261.0,1053.0,2000,0.5265
40,36000,18124.0,863.0,2000,0.4315
41,40000,19470.0,1346.0,4000,0.3365
42,50000,21575.0,2105.0,10000,0.2105
43,60000,23680.0,2105.0,10000,0.2105
44,70000,25785.0,2105.0,10000,0.2105
45,80000,27890.0,2105.0,10000,0.2105
46,90000,29995.0,2105.0,10000,0.2105
47,100000,32100.0,2105.0,10000,0.2105
48,110000,35310.0,3210.0,10000,0.321
49,120000,38520.0,3210.0,10000,0.321
50,130000,43730.0,5210.0,10000,0.521
