level,gl,currency,cost,E,dE,exp_cost,roi,exp_cost_lucky10,roi_lucky10
1,100,灵石,100,0.0,0.0,100.0,0.0,100.0,0.0
2,100,灵石,100,0.0,0.0,100.0,0.0,100.0,0.0
3,100,灵石,200,1998.0,1998.0,200.0,9.99,200.0,9.99
4,80,灵石,200,1998.0,0.0,250.0,0.0,222.22222222222223,0.0
5,80,灵石,200,1998.0,0.0,250.0,0.0,222.22222222222223,0.0
6,80,灵石,300,2531.2799999999997,533.2799999999997,375.0,1.4220799999999993,333.3333333333333,1.5998399999999993
7,50,灵石,300,2531.2799999999997,0.0,600.0,0.0,500.0,0.0
8,50,灵石,300,2531.2799999999997,0.0,600.0,0.0,500.0,0.0
9,50,灵石,300,2531.2799999999997,0.0,600.0,0.0,500.0,0.0
10,50,灵石,400,2531.2799999999997,0.0,800.0,0.0,666.6666666666666,0.0
11,20,灵石,500,10931.279999999999,8400.0,2500.0,3.36,1666.6666666666667,5.04
12,20,灵石,500,28931.28,18000.0,2500.0,7.2,1666.6666666666667,10.799999999999999
