level,c1,c1_num,c2,c2_num,E,dE,roi_c1,roi_c2
1,金币,5000,强化石,5,251.0,251.0,0.0502,50.2
2,金币,5000,强化石,5,502.0,251.0,0.0502,50.2
3,金币,5000,强化石,5,753.0,251.0,0.0502,50.2
4,金币,5000,强化石,5,1004.0,251.0,0.0502,50.2
5,金币,5000,强化石,5,1255.0,251.0,0.0502,50.2
6,金币,5000,强化石,5,1506.0,251.0,0.0502,50.2
7,金币,5000,强化石,5,1757.0,251.0,0.0502,50.2
8,金币,5000,强化石,5,2008.0,251.0,0.0502,50.2
9,金币,5000,强化石,5,2259.0,251.0,0.0502,50.2
10,金币,5000,强化石,5,2510.0,251.0,0.0502,50.2
11,金币,10000,强化石,10,3012.0,502.0,0.0502,50.2
12,金币,10000,强化石,10,3514.0,502.0,0.0502,50.2
13,金币,10000,强化石,10,4016.0,502.0,0.0502,50.2
14,金币,10000,强化石,10,4518.0,502.0,0.0502,50.2
15,金币,10000,强化石,10,5020.0,502.0,0.0502,50.2
16,金币,10000,强化石,10,5522.0,502.0,0.0502,50.2
17,金币,10000,强化石,10,6024.0,502.0,0.0502,50.2
18,金币,10000,强化石,10,6526.0,502.0,0.0502,50.2
19,金币,10000,强化石,10,7028.0,502.0,0.0502,50.2
20,金币,10000,强化石,10,7530.0,502.0,0.0502,50.2
21,金币,50000,高阶强化石,20,8283.0,753.0,0.01506,37.65
22,金币,50000,高阶强化石,20,9036.0,753.0,0.01506,37.65
23,金币,50000,高阶强化石,20,9789.0,753.0,0.01506,37.65
24,金币,50000,高阶强化石,20,10542.0,753.0,0.01506,37.65
25,金币,50000,高阶强化石,20,11295.0,753.0,0.01506,37.65
26,金币,50000,高阶强化石,20,12048.0,753.0,0.01506,37.65
27,金币,50000,高阶强化石,20,12801.0,753.0,0.01506,37.65
28,金币,50000,高阶强化石,20,13554.0,753.0,0.01506,37.65
29,金币,50000,高阶强化石,20,14307.0,753.0,0.01506,37.65
30,金币,50000,高阶强化石,20,15060.0,753.0,0.01506,37.65
